Provider Name,County,State,Ownership Type,More than one infection-control deficiency
BROOKE GROVE REHAB. & NSG CTR,Montgomery,MD,Non profit,YES
CADIA HEALTHCARE - WHEATON,Montgomery,MD,For profit,YES
FAIRLAND CENTER,Montgomery,MD,For profit,
FOX CHASE REHABILITATION AND NURSING CENTER,Montgomery,MD,For profit,
HEBREW HOME OF GREATER WASHINGTON,Montgomery,MD,Non profit,
LAYHILL NURSING AND REHABILITATION CENTER,Montgomery,MD,For profit,YES
MAPLEWOOD PARK PLACE,Montgomery,MD,For profit,
COLLINGTON EPISCOPAL LIFE CARE,Prince Georges,MD,Non profit,
LARKIN CHASE CENTER,Prince Georges,MD,For profit,YES
MAINE VETERANS HOME - SCARBOROUGH,Cumberland,ME,Non profit,
"AUGUSTA CENTER FOR HEALTH & REHABILITATION, LLC",Kennebec,ME,For profit,
THE COMMONS AT TALL PINES,Waldo,ME,For profit,
SEAL ROCK HEALTH CARE,York,ME,For profit,
ADVANTAGE LIVING CENTER - BATTLE CREEK,Calhoun,MI,For profit,YES
LAURELS OF BEDFORD (THE),Calhoun,MI,For profit,
MISSION POINT NRSG AND REHAB CTR OF CEDAR SPRINGS,Kent,MI,For profit,YES
ADVANTAGE LIVING CENTER - ROSEVILLE,Macomb,MI,For profit,YES
BEAUMONT REHAB & CONTINUING CARE FARMINGTON HILLS,Oakland,MI,Non profit,
TUSCOLA COUNTY MEDICAL CARE FACILITY,Tuscola,MI,Government,YES
REGENCY AT LIVONIA,Wayne,MI,For profit,YES
RIVERGATE TERRACE,Wayne,MI,For profit,
SKLD LIVONIA,Wayne,MI,For profit,
ANOKA REHABILITATION AND LIVING CENTER,Anoka,MN,Non profit,YES
ST JOHN LUTHERAN HOME,Brown,MN,Non profit,
EVENTIDE LUTHERAN HOME,Clay,MN,Non profit,YES
MOORHEAD REHABILITATION & HEALTHCARE CENTER,Clay,MN,For profit,YES
AUGUSTANA CHAPEL VIEW CARE CENTER,Hennepin,MN,Non profit,
BENEDICTINE HEALTH CENTER OF MINNEAPOLIS,Hennepin,MN,Non profit,
BYWOOD EAST HEALTH CARE,Hennepin,MN,For profit,
CATHOLIC ELDERCARE ON MAIN,Hennepin,MN,Non profit,
EDENBROOK OF EDINA,Hennepin,MN,Non profit,YES
GOOD SAMARITAN AMBASSADOR,Hennepin,MN,Non profit,YES
JONES HARRISON RESIDENCE,Hennepin,MN,Non profit,
MARTIN LUTHER CARE CENTER,Hennepin,MN,For profit,
MINNESOTA MASONIC HOME CARE CENTER,Hennepin,MN,Non profit,
MN VETERANS HOME MINNEAPOLIS,Hennepin,MN,Government,
MOUNT OLIVET CAREVIEW HOME,Hennepin,MN,Non profit,
NORTH RIDGE HEALTH AND REHAB,Hennepin,MN,For profit,YES
PRESBYTERIAN HOMES OF BLOOMINGTON,Hennepin,MN,For profit,
SHOLOM HOME WEST,Hennepin,MN,Non profit,
THE BIRCHES AT TRILLIUM WOODS,Hennepin,MN,For profit,
THE ESTATES AT EXCELSIOR LLC,Hennepin,MN,For profit,
THE VILLA AT BRYN MAWR,Hennepin,MN,For profit,
WALKER METHODIST HEALTH CENTER,Hennepin,MN,Non profit,YES
GOOD SAMARITAN SOCIETY - INTERNATIONAL FALLS,Koochiching,MN,Non profit,YES
"MEEKER MANOR REHABILITATION CENTER, LLC",Meeker,MN,For profit,YES
PARKVIEW MANOR NURSING HOME,Nobles,MN,Government,
CHARTER HOUSE,Olmsted,MN,Non profit,YES
ROCHESTER EAST HEALTH SERVICES,Olmsted,MN,For profit,YES
ROCHESTER REHABILITATION AND LIVING CENTER,Olmsted,MN,Non profit,
BENEDICTINE HEALTH CENTER INNSBRUCK,Ramsey,MN,Non profit,YES
CERENITY CARE CENTER ON HUMBOLDT,Ramsey,MN,Non profit,YES
GALTIER A VILLA CENTER,Ramsey,MN,For profit,YES
NEW BRIGHTON A VILLA CENTER,Ramsey,MN,For profit,YES
NEW BRIGHTON CARE CENTER,Ramsey,MN,For profit,
PRESBYTERIAN HOMES OF ARDEN HILLS,Ramsey,MN,Non profit,YES
ROSE OF SHARON A VILLA CENTER,Ramsey,MN,For profit,YES
THE EMERALDS AT ST PAUL LLC,Ramsey,MN,For profit,YES
THE ESTATES AT ROSEVILLE LLC,Ramsey,MN,For profit,
NORTHFIELD CARE CENTER INC,Rice,MN,Non profit,
GABLES OF BOUTWELLS LANDING,Washington,MN,Non profit,
ST FRANCIS HOME,Wilkin,MN,Non profit,YES
SAUER HEALTH CARE,Winona,MN,Non profit,
THE ESTATES AT DELANO LLC,Wright,MN,For profit,YES
GRANDVIEW HEALTHCARE CENTER,Franklin,MO,For profit,YES
FRONTIER HEALTH & REHABILITATION,St. Charles,MO,For profit,YES
DELMAR GARDENS NORTH,St. Louis,MO,For profit,YES
LIFE CARE CENTER OF ST LOUIS,St. Louis City,MO,For profit,YES
"CARRINGTON, LLC D/B/A THE CARRINGTON",Oktibbeha,MS,For profit,
MS CARE CENTER OF RALEIGH,Smith,MS,For profit,
"TUNICA COUNTY HEALTH & REHAB, LLC",Tunica,MS,For profit,
GRACE HEIGHTS HEALTH & REHABILITATION,Burke,NC,For profit,
PRUITTHEALTH-CAROLINA POINT,Durham,NC,For profit,
SPRINGBROOK NURSING & REHABILITATION CENTER,Johnston,NC,For profit,
AUTUMN CARE OF CORNELIUS,Mecklenburg,NC,For profit,
CARRINGTON PLACE,Mecklenburg,NC,For profit,
HUNTER WOODS NURSING AND REHAB,Mecklenburg,NC,For profit,
HUNTERSVILLE OAKS,Mecklenburg,NC,Non profit,
PAVILION HEALTH CENTER AT BRIGHTMORE,Mecklenburg,NC,For profit,
PINEHURST HEALTHCARE & REHAB,Moore,NC,For profit,
WELLINGTON REHABILITATION AND HEALTHCARE,Wake,NC,For profit,
ROSEWOOD ON BROADWAY,Cass,ND,Non profit,YES
THE MEADOWS ON UNIVERSITY,Cass,ND,For profit,YES
SUNSET DRIVE - A PROSPERA COMMUNITY,Morton,ND,Non profit,
DOUGLAS COUNTY HEALTH CENTER,Douglas,NE,Government,
ST. JOSEPH'S REHABILITATION & CARE CENTER,Madison,NE,Non profit,
PAPILLION MANOR,Sarpy,NE,Non profit,
HANOVER HILL HEALTH CARE CENTER,Hillsborough,NH,For profit,
"COMPLETE CARE AT LINWOOD, LLC",Atlantic,NJ,For profit,YES
EGG HARBOR CARE CENTER,Atlantic,NJ,For profit,
HAMMONTON CENTER FOR REHABILITATION AND HEALTHCARE,Atlantic,NJ,For profit,YES
PREFERRED CARE AT ABSECON,Atlantic,NJ,For profit,
RENAISSANCE PAVILION,Atlantic,NJ,Non profit,
ROYAL SUITES HEALTH CARE & REHABILITATION,Atlantic,NJ,For profit,
ALARIS HEALTH AT ROCHELLE PARK,Bergen,NJ,For profit,
ALARIS HEALTH AT THE CHATEAU,Bergen,NJ,For profit,
ALLENDALE NURSING HOME,Bergen,NJ,For profit,
ARMENIAN NURSING AND REHABILITATION CENTER,Bergen,NJ,Non profit,
ATRIUM POST ACUTE CARE OF PARK RIDGE,Bergen,NJ,For profit,
BERGEN COUNTY HEALTH CARE CTR,Bergen,NJ,Government,
BERGEN NEW BRIDGE MEDICAL CENTER,Bergen,NJ,Government,
"BUCKINGHAM AT NORWOOD, THE",Bergen,NJ,For profit,
CARE ONE AT CRESSKILL,Bergen,NJ,For profit,
CARE ONE AT NEW MILFORD,Bergen,NJ,For profit,
CARE ONE AT ORADELL,Bergen,NJ,For profit,YES
CARE ONE AT TEANECK,Bergen,NJ,For profit,
CARE ONE AT VALLEY,Bergen,NJ,For profit,
CARE ONE AT WELLINGTON,Bergen,NJ,For profit,YES
CHRISTIAN HEALTH CARE CENTER,Bergen,NJ,Non profit,
COUNTY MANOR REHABILITATION & HCC,Bergen,NJ,For profit,
DELLRIDGE HEALTH & REHABILITATION CENTER,Bergen,NJ,For profit,
EMERSON HEALTH CARE CENTER,Bergen,NJ,For profit,
FAMILY OF CARING HEALTHCARE AT RIDGEWOOD,Bergen,NJ,For profit,
HACKENSACK MERIDIAN HEALTH NURSING & REHAB,Bergen,NJ,Non profit,YES
HACKENSACK MERIDIAN HEALTH PROSPECT HEIGHTS CARE C,Bergen,NJ,For profit,YES
JEWISH HOME AT ROCKLEIGH,Bergen,NJ,Non profit,
MAPLE GLEN CENTER,Bergen,NJ,For profit,YES
N J VETERANS MEM HOME PARAMUS,Bergen,NJ,Government,
OAKLAND REHABILITATION AND HEALTHCARE CENTER,Bergen,NJ,For profit,
RIDGEWOOD CENTER,Bergen,NJ,For profit,YES
TEANECK NURSING CENTER,Bergen,NJ,For profit,
WOODCLIFF LAKE HEALTH & REHABILITATION CENTER,Bergen,NJ,For profit,
ASPEN HILLS HEALTHCARE CENTER,Burlington,NJ,For profit,YES
BURLINGTON WOODS,Burlington,NJ,For profit,
CARE ONE AT EVESHAM,Burlington,NJ,For profit,
CARE ONE AT MOORESTOWN,Burlington,NJ,For profit,
LAUREL BROOK REHABILITATION AND HEALTHCARE CENTER,Burlington,NJ,For profit,
LUTHERAN CROSSINGS ENHANCED LIVING AT MOORESTOWN,Burlington,NJ,Non profit,YES
MARCELLA CENTER,Burlington,NJ,For profit,
MASONIC VILLAGE AT BURLINGTON,Burlington,NJ,Non profit,YES
MEDFORD LEAS,Burlington,NJ,Non profit,
POWERBACK REHABILITATION MOORESTOWN,Burlington,NJ,For profit,YES
STERLING MANOR,Burlington,NJ,For profit,YES
VIRTUA HEALTH & REHAB MT HOLLY,Burlington,NJ,Non profit,YES
WILLOWBROOKE COURT SKILLED CARE AT EVERGREENS,Burlington,NJ,Non profit,
ABIGAIL HOUSE FOR NURSING & REHABILITATION,Camden,NJ,For profit,
AVISTA HEALTHCARE,Camden,NJ,For profit,YES
BARCLAYS REHABILITATION AND HEALTHCARE CENTER,Camden,NJ,For profit,YES
LAUREL MANOR HEALTHCARE AND REHABILITATION CENTER,Camden,NJ,For profit,
LIONS GATE,Camden,NJ,Non profit,YES
MANORCARE HEALTH SERVICES - VOORHEES,Camden,NJ,Non profit,YES
PREMIER CADBURY OF CHERRY HILL,Camden,NJ,For profit,YES
SILVER HEALTHCARE CENTER,Camden,NJ,For profit,YES
UNITED METHODIST COMMUNITIES AT COLLINGSWOOD,Camden,NJ,Non profit,
VOORHEES CENTER,Camden,NJ,For profit,YES
COURT HOUSE CENTER,Cape May,NJ,For profit,
NORTH CAPE CENTER,Cape May,NJ,For profit,
VICTORIA MANOR,Cape May,NJ,For profit,YES
ALARIS HEALTH AT CEDAR GROVE,Essex,NJ,For profit,
ALARIS HEALTH AT ESSEX,Essex,NJ,For profit,
ALARIS HEALTH AT ST MARY'S,Essex,NJ,For profit,YES
ALARIS HEALTH AT WEST ORANGE,Essex,NJ,For profit,YES
ARBOR GLEN CENTER,Essex,NJ,For profit,
ATRIUM POST ACUTE CARE OF LIVINGSTON,Essex,NJ,For profit,
BROADWAY HOUSE FOR CONTINUING,Essex,NJ,Non profit,
CANTERBURY AT CEDAR GROVE,Essex,NJ,For profit,YES
CARE ONE AT LIVINGSTON,Essex,NJ,For profit,
COMPLETE CARE AT SUMMIT RIDGE,Essex,NJ,For profit,YES
DAUGHTERS OF ISRAEL PLEASANT VALLEY HOME,Essex,NJ,Non profit,
FAMILY OF CARING HEALTHCARE AT MONTCLAIR,Essex,NJ,For profit,
FOREST HILL HEALTHCARE CENTER,Essex,NJ,For profit,
HACKENSACK MERIDIAN HEALTH WEST CALDWELL C,Essex,NJ,For profit,
INGLEMOOR REHABILITATION AND CARE CENTER OF LIVING,Essex,NJ,For profit,
JOB HAINES HOME FOR AGED PEOPL,Essex,NJ,Non profit,
LUTHERAN SOCIAL MINISTRIES CRA,Essex,NJ,Non profit,
MONTCLAIR CARE CENTER,Essex,NJ,For profit,
NEW COMMUNITY EXTENDED CARE FACILITY,Essex,NJ,Non profit,
NEW VISTA,Essex,NJ,For profit,YES
PARK CRESCENT HEALTHCARE & REHABILITATION CENTER,Essex,NJ,For profit,
SINAI POST ACUTE NURSING AND REHAB CENTER,Essex,NJ,For profit,YES
ST CATHERINE OF SIENA,Essex,NJ,Non profit,
ST JOSEPH'S HEALTHCARE AND REHAB CENTER,Essex,NJ,Non profit,
STRATFORD MANOR REHABILITATION AND CARE CENTER,Essex,NJ,For profit,
WATERVIEW CENTER,Essex,NJ,For profit,YES
WHITE HOUSE HLTHCR & REHAB CTR,Essex,NJ,For profit,
WINCHESTER GARDENS HEALTH CARE CENTER,Essex,NJ,Non profit,
DEPTFORD CENTER FOR REHABILITATION AND HEALTHCARE,Gloucester,NJ,For profit,YES
MANORCARE HEALTH SERVICES-WEST DEPTFORD,Gloucester,NJ,Non profit,
MEADOWVIEW NURSING & RESPIRATORY CARE,Gloucester,NJ,For profit,
ALARIS HEALTH AT BELGROVE,Hudson,NJ,For profit,YES
ALARIS HEALTH AT BOULEVARD EAST,Hudson,NJ,For profit,
ALARIS HEALTH AT CASTLE HILL,Hudson,NJ,For profit,
ALARIS HEALTH AT HAMILTON PARK,Hudson,NJ,For profit,
ALARIS HEALTH AT KEARNY,Hudson,NJ,For profit,
ALARIS HEALTH AT THE FOUNTAINS,Hudson,NJ,For profit,YES
HARBORAGE (THE),Hudson,NJ,Non profit,
"HUDSON HILLS SENIOR LIVING, LLC",Hudson,NJ,For profit,YES
HUDSONVIEW HEALTH CARE CENTER,Hudson,NJ,For profit,
MANHATTANVIEW NURSING HOME,Hudson,NJ,For profit,YES
COUNTRY ARCH CARE CENTER,Hunterdon,NJ,For profit,
HUNTERDON CARE CENTER,Hunterdon,NJ,For profit,YES
ROLLING HILLS CARE CENTER,Hunterdon,NJ,For profit,
ATRIUM POST ACUTE CARE OF HAMILTON,Mercer,NJ,For profit,
ATRIUM POST ACUTE CARE OF PRINCETON,Mercer,NJ,For profit,YES
GREENWOOD HOUSE HOME FOR THE JEWISH AGED,Mercer,NJ,Non profit,YES
HAMILTON CONTINUING CARE,Mercer,NJ,Non profit,
"HAMILTON GROVE HEALTHCARE AND REHABILITATION, LLC",Mercer,NJ,For profit,YES
MEADOW LAKES,Mercer,NJ,Non profit,
MERCERVILLE CENTER,Mercer,NJ,For profit,YES
MORRIS HALL/ST JOSEPH'S NURSING CENTER,Mercer,NJ,Non profit,
PREFERRED CARE AT MERCER,Mercer,NJ,For profit,YES
PRINCETON CARE CENTER,Mercer,NJ,For profit,
PROVIDENCE NURSING AND REHABILITATION CENTER,Mercer,NJ,For profit,
ST LAWRENCE REHAB CENTER,Mercer,NJ,Non profit,
WATERS EDGE HEALTHCARE & REHAB,Mercer,NJ,For profit,
ALAMEDA CENTER FOR REHABILITATION AND HEALTHCARE,Middlesex,NJ,For profit,YES
AMBOY CARE CENTER,Middlesex,NJ,For profit,YES
ARISTACARE AT CEDAR OAKS,Middlesex,NJ,For profit,
BRIGHTON GARDENS OF EDISON,Middlesex,NJ,For profit,YES
CARE ONE AT EAST BRUNSWICK,Middlesex,NJ,For profit,
CARE ONE AT THE HIGHLANDS,Middlesex,NJ,For profit,
CRANBURY CENTER,Middlesex,NJ,For profit,
"ELMS OF CRANBURY, THE",Middlesex,NJ,For profit,
"GARDENS AT MONROE HEALTHCARE AND REHABILITATION, T",Middlesex,NJ,For profit,
HARTWYCK AT OAK TREE,Middlesex,NJ,Non profit,
JFK HARTWYCK AT EDISON ESTATES,Middlesex,NJ,Non profit,
MERWICK CARE & REHABILITATION CENTER,Middlesex,NJ,For profit,
NEW JERSEY VETERANS MEMORIAL HOME MENLO,Middlesex,NJ,Government,YES
PARK PLACE CENTER,Middlesex,NJ,For profit,YES
"PREFERRED CARE AT OLD BRIDGE, LLC",Middlesex,NJ,For profit,
REFORMED CHURCH HOME,Middlesex,NJ,Non profit,
ROOSEVELT CARE CENTER,Middlesex,NJ,Government,YES
ROOSEVELT CARE CENTER AT OLD BRIDGE,Middlesex,NJ,Government,
ROSE MOUNTAIN CARE CENTER,Middlesex,NJ,For profit,
"ST JOSEPH'S HOME AL & NC, INC",Middlesex,NJ,Non profit,
SUMMER HILL NURSING HOME,Middlesex,NJ,For profit,
"VENETIAN CARE & REHABILITATION CENTER, THE",Middlesex,NJ,For profit,
VILLAGE POINT,Middlesex,NJ,Non profit,
ALLAIRE REHAB & NURSING,Monmouth,NJ,For profit,YES
ANCHOR CARE AND REHABILITATION CENTER,Monmouth,NJ,For profit,
APPLEWOOD ESTATES,Monmouth,NJ,Non profit,
ARNOLD WALTER NURSING HOME,Monmouth,NJ,For profit,YES
"ATRIUM AT NAVESINK HARBOR, THE",Monmouth,NJ,Non profit,
ATRIUM POST ACUTE CARE OF MATAWAN,Monmouth,NJ,For profit,YES
BAYSHORE HEALTH CARE CENTER,Monmouth,NJ,Non profit,
CARE ONE AT HOLMDEL,Monmouth,NJ,For profit,
CARE ONE AT WALL,Monmouth,NJ,For profit,
CORAL HARBOR REHABILITATION AND HEALTHCARE CENTER,Monmouth,NJ,For profit,
GATEWAY CARE CENTER,Monmouth,NJ,For profit,
HACKENSACK MERIDIAN HEALTH NURSING & REHAB,Monmouth,NJ,For profit,
IMPERIAL CARE CENTER,Monmouth,NJ,For profit,
JERSEY SHORE CENTER,Monmouth,NJ,For profit,
JEWISH HOME FOR REHABILITATION AND NURSING,Monmouth,NJ,Non profit,
KING MANOR CARE AND REHABILITATION CENTER,Monmouth,NJ,For profit,YES
LAUREL BAY HEALTH & REHABILITATION CENTER,Monmouth,NJ,For profit,YES
MADISON CENTER,Monmouth,NJ,For profit,YES
"MANOR, THE",Monmouth,NJ,Non profit,
MERIDIAN NURSING & REHAB AT SHREWSBURY,Monmouth,NJ,Non profit,
MERIDIAN NURSING AND REHABILITATION AT OCEAN GROVE,Monmouth,NJ,Non profit,
MERIDIAN SUBACUTE REHABILITATION,Monmouth,NJ,Non profit,
MONMOUTH CARE CENTER,Monmouth,NJ,For profit,
PINE BROOK CARE CENTER,Monmouth,NJ,For profit,YES
PREFERRED CARE AT WALL,Monmouth,NJ,For profit,YES
CARE ONE AT MADISON AVENUE,Morris,NJ,For profit,YES
CARE ONE AT MORRIS,Morris,NJ,For profit,
CEDAR CREST/MOUNTAINVIEW GARDENS,Morris,NJ,Non profit,
CHATHAM HILLS SUBACUTE CARE CENTER,Morris,NJ,For profit,
CHESHIRE HOME,Morris,NJ,Non profit,
COMPLETE CARE AT MORRIS HILLS,Morris,NJ,For profit,
HEATH VILLAGE,Morris,NJ,Non profit,
HOLLY MANOR CENTER,Morris,NJ,For profit,
LINCOLN PARK CARE CENTER,Morris,NJ,For profit,
LINCOLN PARK RENAISSANCE REHAB & NURSING,Morris,NJ,For profit,YES
MERRY HEART NURSING HOME,Morris,NJ,For profit,
MORRIS VIEW HEALTHCARE CENTER,Morris,NJ,For profit,
"OAKS AT DENVILLE, THE",Morris,NJ,Non profit,
PINE ACRES CONVALESCENT CENTER,Morris,NJ,For profit,
REGENCY GRANDE NURS & REHAB CE,Morris,NJ,For profit,
TROY HILLS CENTER,Morris,NJ,For profit,YES
"VILLA AT FLORHAM PARK, INC THE",Morris,NJ,Non profit,
ARISTACARE AT MANCHESTER,Ocean,NJ,For profit,
ARISTACARE AT WHITING,Ocean,NJ,For profit,
ATLANTIC COAST REHAB & HEALTH,Ocean,NJ,For profit,YES
BARNEGAT REHABILITATION AND NURSING CENTER,Ocean,NJ,For profit,YES
COMPLETE CARE AT ARBORS,Ocean,NJ,For profit,
"COMPLETE CARE AT BEY LEA, LLC",Ocean,NJ,For profit,YES
COMPLETE CARE AT GREEN ACRES,Ocean,NJ,For profit,
COMPLETE CARE AT HOLIDAY CITY,Ocean,NJ,For profit,YES
"COMPLETE CARE AT LAURELTON, LLC",Ocean,NJ,For profit,
COMPLETE CARE AT SHORROCK HAVEN,Ocean,NJ,For profit,
CONCORD HEALTHCARE & REHABILITATION CENTER,Ocean,NJ,For profit,
CREST POINTE REHABILITATION AND HEALTHCARE CENTER,Ocean,NJ,For profit,YES
FOUNTAIN VIEW CARE CENTER,Ocean,NJ,For profit,
HAMPTON RIDGE HEALTHCARE AND REHABILITATION,Ocean,NJ,For profit,YES
HARROGATE,Ocean,NJ,Non profit,
LEISURE CHATEAU REHABILITATION,Ocean,NJ,For profit,
LEISURE PARK HEALTH CENTER,Ocean,NJ,For profit,
MANAHAWKIN CONV CTR,Ocean,NJ,For profit,
MERIDIAN NURSING AND REHABILITATION AT BRICK,Ocean,NJ,Non profit,
ROSE GARDEN NURSING AND REHABILITATION CENTER,Ocean,NJ,For profit,
SHORE MEADOWS REHAB & NURSING CENTER,Ocean,NJ,For profit,YES
SOUTHERN OCEAN CENTER,Ocean,NJ,For profit,
"SPRINGPOINT AT CRESTWOOD, INC",Ocean,NJ,Non profit,
TALLWOODS CARE CENTER,Ocean,NJ,For profit,
WILLOW SPRINGS REHABILITATION AND HEALTHCARE CTR,Ocean,NJ,For profit,
ARBOR RIDGE REHABILITATION AND HEALTHCARE CENTER,Passaic,NJ,For profit,
ATRIUM POST ACUTE CARE OF WAYNE,Passaic,NJ,For profit,
ATRIUM POST ACUTE CARE OF WAYNEVIEW,Passaic,NJ,For profit,
CARE ONE AT WAYNE - SNF,Passaic,NJ,For profit,
CHESTNUT HILL CONV CENTER,Passaic,NJ,For profit,YES
"COMPLETE CARE AT HAMILTON, LLC",Passaic,NJ,For profit,YES
DAUGHTERS OF MIRIAM CENTER,Passaic,NJ,Non profit,
HEALTH CENTER AT BLOOMINGDALE,Passaic,NJ,For profit,
LAKELAND HEALTH CARE CENTER,Passaic,NJ,For profit,
LAKEVIEW REHABILITATION AND CARE CENTER,Passaic,NJ,For profit,YES
LLANFAIR HOUSE CARE & REHABILITATION CENTER,Passaic,NJ,For profit,
MILFORD MANOR,Passaic,NJ,For profit,
PHOENIX CENTER FOR REHABILITATION AND PEDIATRICS,Passaic,NJ,For profit,YES
PREAKNESS HEALTHCARE CENTER,Passaic,NJ,Government,YES
REGENCY GARDENS NURSING CENTER,Passaic,NJ,For profit,
FRIENDS VILLAGE AT WOODSTOWN,Salem,NJ,Non profit,
ABINGDON CARE & REHABILITATION CENTER,Somerset,NJ,For profit,YES
"ARBOR AT LAUREL CIRCLE, THE",Somerset,NJ,For profit,
BRIDGEWAY CARE AND REHAB CENTER AT BRIDGEWATER,Somerset,NJ,For profit,
BRIDGEWAY CARE AND REHAB CENTER AT HILLSBOROUGH,Somerset,NJ,For profit,
CARE ONE AT SOMERSET VALLEY,Somerset,NJ,For profit,
COMPLETE CARE AT GREEN KNOLL,Somerset,NJ,For profit,YES
FOOTHILL ACRES REHABILITATION & NURSING CENTER,Somerset,NJ,For profit,YES
MCAULEY HALL HEALTH CARE CENTE,Somerset,NJ,Non profit,YES
N J EASTERN STAR HOME,Somerset,NJ,Non profit,YES
"PARKER AT SOMERSET, INC",Somerset,NJ,Non profit,
REGENCY HERITAGE NURSING AND REHABILITATION CENTER,Somerset,NJ,For profit,
SKILLED NURSING AT FELLOWSHIP VILLAGE,Somerset,NJ,Non profit,
STONEBRIDGE AT MONTGOMERY HEALTH CARE CENTER,Somerset,NJ,Non profit,
WILLOW CREEK REHAB AND CARE CE,Somerset,NJ,For profit,
ANDOVER SUBACUTE AND REHAB I,Sussex,NJ,For profit,
ANDOVER SUBACUTE AND REHAB II,Sussex,NJ,For profit,YES
BARN HILL CARE CENTER,Sussex,NJ,For profit,
HOMESTEAD REHABILITATION & HEALTH CARE CENTER,Sussex,NJ,For profit,
VALLEY VIEW REHABILITATION AND HEALTHCARE CTR,Sussex,NJ,For profit,
ALARIS HEALTH AT RIVERTON,Union,NJ,For profit,
ARISTACARE AT DELAIRE,Union,NJ,For profit,YES
ARISTACARE AT NORWOOD TERRACE,Union,NJ,For profit,
ASHBROOK CARE & REHABILITATION CENTER,Union,NJ,For profit,
AUTUMN LAKE HEALTHCARE AT BERKELEY HEIGHTS,Union,NJ,For profit,
CHILDRENS SPECIALIZED HOSPITAL MOUNTAINSIDE,Union,NJ,Non profit,YES
CLARK NURSING AND REHAB CNTR,Union,NJ,For profit,YES
CONTINUING CARE AT LANTERN HILL,Union,NJ,Non profit,YES
CRANFORD PARK REHABILITATION & HEALTHCARE CENTER,Union,NJ,For profit,
CRANFORD REHAB & NURSING CENTER,Union,NJ,For profit,YES
ELIZABETH NURSING AND REHAB,Union,NJ,For profit,
ELMORA HILLS HEALTH & REHABILITATION CENTER,Union,NJ,For profit,
JFK HARTWYCK AT CEDAR BROOK,Union,NJ,Non profit,YES
MANOR CARE MOUNTAINSIDE,Union,NJ,Non profit,
PLAZA HEALTHCARE & REHABILITATION CENTER,Union,NJ,For profit,
RUNNELLS CENTER FOR REHABILITATION & HEALTHCARE,Union,NJ,For profit,YES
SOUTH MOUNTAIN HC,Union,NJ,For profit,
SPRING GROVE REHABILITATION AND HEALTHCARE CENTER,Union,NJ,For profit,
TRINITAS HOSPITAL,Union,NJ,Non profit,YES
WESTFIELD CENTER,Union,NJ,For profit,YES
BRAKELEY PARK CENTER,Warren,NJ,For profit,
FOREST MANOR HCC,Warren,NJ,For profit,
HOUSE OF THE GOOD SHEPHERD,Warren,NJ,Non profit,YES
LOPATCONG CENTER,Warren,NJ,For profit,
WARREN HAVEN REHAB AND NURSING CENTER,Warren,NJ,For profit,YES
ADVANCED HEALTH CARE OF ALBUQUERQUE,Bernalillo,NM,For profit,
LA VIDA LLENA,Bernalillo,NM,For profit,
UPTOWN REHABILITATION CENTER,Bernalillo,NM,For profit,YES
AZTEC HEALTHCARE,San Juan,NM,For profit,
LIFE CARE CENTER OF FARMINGTON,San Juan,NM,For profit,
NEIGHBORHOOD IN RIO RANCHO (THE),Sandoval,NM,For profit,YES
ADVANCED HEALTH CARE OF SUMMERLIN,Clark,NV,For profit,
DELMAR GARDENS OF GREEN VALLEY,Clark,NV,For profit,YES
EL JEN CONVALESCENT HOSPITAL AND RETIREMENT CENTER,Clark,NV,For profit,YES
HARMON HOSPITAL - SNF,Clark,NV,For profit,
HORIZON HEALTH AND REHABILITATION CENTER,Clark,NV,For profit,YES
LAS VEGAS POST ACUTE & REHABILITATION,Clark,NV,For profit,YES
LIFE CARE CENTER OF LAS VEGAS,Clark,NV,For profit,YES
MISSION PINES NURSING & REHABILITATION CENTER,Clark,NV,For profit,YES
NEURORESTORATIVE 4 KIDS,Clark,NV,For profit,YES
NEVADA STATE VETERANS HOME - BOULDER CITY,Clark,NV,Government,
NORTH LAS VEGAS CARE CENTER,Clark,NV,For profit,YES
"PREMIER HEALTH & REHABILITATION CENTER OF LV, LP",Clark,NV,For profit,
ROYAL SPRINGS HEALTHCARE AND REHAB,Clark,NV,For profit,
SILVER HILLS HEALTH CARE CENTER,Clark,NV,For profit,
SILVER RIDGE HEALTHCARE CENTER,Clark,NV,For profit,
"THE HEIGHTS OF SUMMERLIN, LLC",Clark,NV,For profit,YES
TLC CARE CENTER,Clark,NV,For profit,YES
"TRANSITIONAL CARE OF LAS VEGAS, LLC",Clark,NV,For profit,
LEFA SERAN SNF,Mineral,NV,Government,
HEARTHSTONE OF NORTHERN NEVADA,Washoe,NV,For profit,
LAKESIDE HEALTH & WELLNESS SUITES,Washoe,NV,For profit,YES
BRONX CENTER FOR REHABILITATION & HEALTH CARE,Bronx,NY,For profit,YES
BRONX GARDENS REHABILITATION AND NURSING CENTER,Bronx,NY,For profit,
BRONXCARE SPECIAL CARE CENTER,Bronx,NY,Non profit,
EAST HAVEN NURSING & REHABILITATION CENTER,Bronx,NY,For profit,
KINGS HARBOR MULTICARE CENTER,Bronx,NY,For profit,
SPLIT ROCK REHABILITION AND HEALTH CARE CENTER,Bronx,NY,For profit,
ST PATRICKS HOME,Bronx,NY,Non profit,
ST VINCENT DEPAUL RESIDENCE,Bronx,NY,Non profit,
THE PLAZA REHAB AND NURSING CENTER,Bronx,NY,For profit,
