Facilities with Publicly Reported Coronavirus Cases,,,
"Thousands of deaths from the coronavirus have been linked to nursing homes in recent weeks, but the federal government and many states have not identified the providers. Through media accounts and state health departments, The Post was able to identify more than 2,500 nursing homes that have had publicly reported cases of the virus among residents or staff as of Monday morning.

Note: With many states not releasing the names of facilities, the actual number of nursing homes impacted by the virus is likely far higher.                                ",,,
"BIG BLUE HEALTHCARE, INC, DBA RIVERBEND POST ACUTE",Wyandotte,KS,For profit
LIFE CARE CENTER OF KANSAS CITY,Wyandotte,KS,For profit
SIGNATURE HEALTHCARE AT SUMMIT MANOR REHAB & WELLN,Adair,KY,For profit
BRIDGE POINT CENTER,Boone,KY,For profit
FLORENCE PARK CARE CENTER,Boone,KY,For profit
KINGSBROOK LIFECARE CENTER,Boyd,KY,Non profit
CHARLESTON HEALTH CARE CENTER,Boyle,KY,For profit
MORGANTOWN CARE & REHABILITATION CENTER,Butler,KY,For profit
COLDSPRING TRANSITIONAL CARE CENTER,Campbell,KY,For profit
OWENSBORO CENTER,Daviess,KY,For profit
EDMONSON CENTER,Edmonson,KY,For profit
LEXINGTON COUNTRY PLACE,Fayette,KY,For profit
RIVERVIEW HEALTH CARE CENTER,Floyd,KY,For profit
BRADFORD SQUARE GENESIS HEALTHCARE,Franklin,KY,For profit
LANDMARK OF LANCASTER REHABILITATION AND NURSING C,Garrard,KY,For profit
GRANT CENTER,Grant,KY,For profit
MAYFIELD HEALTH AND REHABILITATION,Graves,KY,For profit
MILLS NURSING & REHABILITATION,Graves,KY,For profit
GRAYSON NURSING AND REHABILITATION,Grayson,KY,Non profit
SPRING VIEW NURSING & REHABILITATION,Grayson,KY,For profit
HELMWOOD HEALTHCARE CENTER,Hardin,KY,For profit
SIGNATURE HEALTHCARE AT NORTH HARDIN REHAB & WELLN,Hardin,KY,For profit
HENDERSON NURSING AND REHABILITATION CENTER,Henderson,KY,For profit
HILLSIDE CENTER,Hopkins,KY,For profit
RIDGEWOOD TERRACE NURSING HOME,Hopkins,KY,For profit
SIGNATURE HEALTHCARE AT JACKSON MANOR REHAB & WELL,Jackson,KY,For profit
ESSEX NURSING AND REHABILITATION CENTER,Jefferson,KY,For profit
HIGHLANDS NURSING AND REHABILITATION,Jefferson,KY,For profit
"LANDMARK OF LOUISVILLE REHABILITATION AND NURSING,",Jefferson,KY,For profit
LANDMARK OF RIVER CITY REHABILITATION AND NURSING,Jefferson,KY,For profit
LOUISVILLE EAST POST ACUTE,Jefferson,KY,For profit
MASONIC HOME OF LOUISVILLE,Jefferson,KY,For profit
NAZARETH HOME,Jefferson,KY,For profit
PARK TERRACE HEALTH CAMPUS,Jefferson,KY,For profit
RIVERS EDGE NURSING AND REHABILITATION CENTER,Jefferson,KY,For profit
SIGNATURE HEALTHCARE AT SUMMERFIELD REHAB & WELLNE,Jefferson,KY,For profit
SIGNATURE HEALTHCARE OF SOUTH LOUISVILLE,Jefferson,KY,For profit
SYCAMORE HEIGHTS HEALTH AND REHABILITATION,Jefferson,KY,For profit
THE FORUM AT BROOKSIDE,Jefferson,KY,For profit
TREYTON OAK TOWERS,Jefferson,KY,Non profit
WESLEY MANOR,Jefferson,KY,Non profit
MADONNA MANOR,Kenton,KY,Non profit
ROSEDALE GREEN,Kenton,KY,Non profit
VILLAGE CARE CENTER,Kenton,KY,Non profit
THE JORDAN CENTER,Lawrence,KY,For profit
"STANFORD CARE AND REHAB, LLC",Lincoln,KY,For profit
RIVER'S BEND RETIREMENT COMMUNITY,Lyon,KY,Non profit
LORETTO MOTHERHOUSE INFIRMARY,Marion,KY,Non profit
PARKVIEW NURSING & REHABILITATION CENTER,Mc Cracken,KY,For profit
SIGNATURE HEALTHCARE AT COLONIAL REHAB & WELLNESS,Nelson,KY,For profit
"BEAVER DAM NURSING & REHAB CENTER, INC",Ohio,KY,For profit
RICHWOOD NURSING & REHAB,Oldham,KY,For profit
GOOD SHEPHERD HEALTH AND REHABILITATION,Pike,KY,For profit
"FAIR OAKS HEALTH SYSTEMS, LLC",Russell,KY,For profit
GREENWOOD NURSING & REHABILITATION CENTER,Warren,KY,For profit
HOPKINS CENTER,Warren,KY,For profit
HILLCREST HEALTH AND REHABILITATION CENTER,Whitley,KY,For profit
CHATEAU D'VILLE REHAB AND RETIREMENT,Ascension,LA,For profit
COLONIAL NURSING HOME,Avoyelles,LA,For profit
VIVIAN HEALTHCARE CENTER,Caddo,LA,For profit
FLANNERY OAKS GUEST HOUSE,E. Baton Rouge,LA,For profit
OLLIE STEELE BURDEN MANOR,E. Baton Rouge,LA,Non profit
ST JAMES PLACE NURSING CARE CENTER,E. Baton Rouge,LA,Non profit
MARRERO HEALTHCARE CENTER,Jefferson,LA,For profit
ST ANTHONY'S NURSING HOME,Jefferson,LA,For profit
ST JOSEPH OF HARAHAN,Jefferson,LA,For profit
CHATEAU DE NOTRE DAME,Orleans,LA,Non profit
GOOD SAMARITAN REHABILITATION AND NURSING CTR,Orleans,LA,For profit
JO ELLEN SMITH CONVALESCENT CENTER,Orleans,LA,For profit
ST JUDE'S NURSING HOME,Orleans,LA,Non profit
"RIVERBEND NURSING AND REHABILITATION CENTER, INC",Plaquemines,LA,For profit
LAKEVIEW MANOR NURSING HOME,Pointe Coupee,LA,For profit
LULING LIVING CENTER,St. Charles,LA,For profit
ORMOND NURSING & CARE CENTER,St. Charles,LA,For profit
CHATEAU ST. JAMES REHAB AND RETIREMENT,St. James,LA,For profit
SOUTHEAST LOUISIANA WAR VETERANS HOME,St. John Baptist,LA,Government
FOREST MANOR NURSING AND REHABILITATION CENTER,St. Tammany,LA,For profit
GREENBRIAR COMMUNITY CARE CENTER,St. Tammany,LA,Non profit
GUEST HOUSE OF SLIDELL,St. Tammany,LA,Non profit
PONTCHARTRAIN HEALTH CARE CENTER,St. Tammany,LA,For profit
BELLE MAISON NURSING & REHABILITATION L L C,Tangipahoa,LA,For profit
LEGACY NURSING AND REHABILITATION OF PORT ALLEN,W. Baton Rouge,LA,For profit
BOURNE MANOR EXTENDED CARE FACILITY,Barnstable,MA,Non profit
CAPE HERITAGE REHABILITATION & HEALTH CARE CENTER,Barnstable,MA,For profit
JML CARE CENTER  INC,Barnstable,MA,Non profit
MAYFLOWER PLACE NURSING & REHABILITATION CENTER,Barnstable,MA,For profit
PLEASANT BAY OF BREWSTER REHAB CENTER,Barnstable,MA,For profit
ROYAL CAPE COD NURSING & REHABILITATION CENTER,Barnstable,MA,For profit
SOUTH DENNIS HEALTHCARE,Barnstable,MA,For profit
FAIRVIEW COMMONS NURSING & REHABILITATION CENTER,Berkshire,MA,Non profit
WILLIAMSTOWN COMMONS NURSING & REHAB,Berkshire,MA,Non profit
ALDEN COURT NURSING CARE & REHABILITATION CENTER,Bristol,MA,For profit
ATTLEBORO HEALTHCARE,Bristol,MA,For profit
BRANDON WOODS OF DARTMOUTH,Bristol,MA,For profit
GARDEN PLACE HEALTHCARE,Bristol,MA,For profit
HATHAWAY MANOR EXTENDED CARE,Bristol,MA,Non profit
LIFE CARE CENTER OF ATTLEBORO,Bristol,MA,For profit
LIFE CARE CENTER OF RAYNHAM,Bristol,MA,For profit
MADONNA MANOR NURSING HOME,Bristol,MA,Non profit
REVOLUTION KIMWELL,Bristol,MA,For profit
SACRED HEART NURSING HOME,Bristol,MA,Non profit
SOUTHEAST HEALTH CARE CENTER,Bristol,MA,For profit
WEDGEMERE HEALTHCARE,Bristol,MA,For profit
ACADEMY MANOR,Essex,MA,For profit
ALLIANCE HEALTH AT ABBOTT,Essex,MA,Non profit
ALLIANCE HEALTH AT ROSEWOOD,Essex,MA,Non profit
BEAR MOUNTAIN AT ANDOVER,Essex,MA,For profit
BLUEBERRY HILL REHABILITATION AND HEALTHCARE CTR,Essex,MA,For profit
BRENTWOOD REHABILITATION AND HEALTHCARE CTR (THE),Essex,MA,For profit
CARE ONE AT ESSEX PARK,Essex,MA,For profit
CARE ONE AT PEABODY,Essex,MA,For profit
CEDAR VIEW REHABILITATION AND HEALTHCARE CENTER,Essex,MA,For profit
CHESTNUT WOODS REHABILITATION AND HEALTHCARE CTR,Essex,MA,For profit
GLOUCESTER HEALTHCARE,Essex,MA,For profit
HATHORNE HILL,Essex,MA,For profit
HUNT NURSING & REHAB CENTER,Essex,MA,Non profit
JEFFREY & SUSAN BRUDNICK CENTER FOR LIVING,Essex,MA,Non profit
JESMOND NURSING HOME,Essex,MA,For profit
LAFAYETTE REHABILITATION & SKILLED NURSING FACILIT,Essex,MA,Non profit
LEDGEWOOD REHABILITATION & SKILLED NURSING CENTER,Essex,MA,For profit
LIFE CARE CENTER OF THE NORTH SHORE,Essex,MA,For profit
M I NURSING & RESTORATIVE CENTER,Essex,MA,Non profit
MAPLEWOOD REHAB  AND NURSING,Essex,MA,For profit
MASCONOMET HEALTHCARE CENTER,Essex,MA,For profit
"MEADOWS, THE",Essex,MA,Non profit
NEVINS NURSING & REHABILITATION CENTER,Essex,MA,Non profit
"OXFORD REHABILITATION & HEALTH CARE CENTER, THE",Essex,MA,For profit
"PENACOOK PLACE, INC",Essex,MA,Non profit
PHILLIPS MANOR NURSING HOME,Essex,MA,For profit
PILGRIM REHABILITATION & SKILLED NURSING CENTER,Essex,MA,Non profit
PRESCOTT HOUSE,Essex,MA,For profit
ROYAL WOOD MILL CENTER,Essex,MA,For profit
TWIN OAKS REHAB AND NURSING,Essex,MA,For profit
WINGATE AT HAVERHILL,Essex,MA,For profit
BUCKLEY-GREENFIELD HEALTHCARE CENTER,Franklin,MA,For profit
CHARLENE MANOR EXTENDED CARE FACILITY,Franklin,MA,Non profit
POET'S SEAT HEALTH CARE CENTER,Franklin,MA,For profit
AGAWAM HEALTHCARE,Hampden,MA,For profit
CARE ONE AT HOLYOKE,Hampden,MA,For profit
CARE ONE AT REDSTONE,Hampden,MA,For profit
CHAPIN CENTER,Hampden,MA,Non profit
DAY BROOK VILLAGE SENIOR LIVING,Hampden,MA,Non profit
EAST LONGMEADOW SKILLED NURSING CENTER,Hampden,MA,Non profit
GOVERNORS CENTER,Hampden,MA,Non profit
HERITAGE HALL EAST,Hampden,MA,For profit
HERITAGE HALL NORTH,Hampden,MA,For profit
HERITAGE HALL WEST,Hampden,MA,For profit
JULIAN J LEVITT FAMILY NURSING HOME,Hampden,MA,Non profit
LIFE CARE CENTER OF WILBRAHAM,Hampden,MA,For profit
LOOMIS LAKESIDE AT REEDS LANDING,Hampden,MA,Non profit
MONT MARIE REHABILITATION & HEALTHCARE CENTER,Hampden,MA,For profit
MOUNT SAINT VINCENT CARE CENTER,Hampden,MA,Non profit
SIXTEEN ACRES HEALTHCARE CENTER,Hampden,MA,For profit
VERO HEALTH & REHAB OF HAMPDEN,Hampden,MA,For profit
VERO HEALTH & REHAB OF WILBRAHAM,Hampden,MA,For profit
CARE ONE AT NORTHAMPTON,Hampshire,MA,For profit
CENTER FOR EXTENDED CARE AT AMHERST,Hampshire,MA,For profit
HIGHVIEW OF NORTHAMPTON,Hampshire,MA,For profit
"ABERJONA NURSING CENTER, INC",Middlesex,MA,For profit
BEAR HILL HEALTHCARE AND REHABILITATION CENTER,Middlesex,MA,For profit
BEAR MOUNTAIN AT READING,Middlesex,MA,For profit
BEAR MOUNTAIN AT SUDBURY,Middlesex,MA,For profit
BEAUMONT REHAB & SKILLED NURSING CTR - NATICK,Middlesex,MA,For profit
"BELMONT MANOR NURSING HOME, IN",Middlesex,MA,For profit
BENCHMARK SNR LIVING AT THE COMMONS IN LINCOLN SNF,Middlesex,MA,For profit
BETHANY SKILLED NURSING FACILITY,Middlesex,MA,Non profit
BLAIRE HOUSE OF TEWKSBURY,Middlesex,MA,For profit
CAMBRIDGE REHABILITATION & NURSING CENTER,Middlesex,MA,For profit
"CAMPION HEALTH & WELLNESS, INC",Middlesex,MA,Non profit
CARE ONE AT CONCORD,Middlesex,MA,For profit
CARE ONE AT LEXINGTON,Middlesex,MA,For profit
CARE ONE AT LOWELL,Middlesex,MA,For profit
CARE ONE AT NEWTON,Middlesex,MA,For profit
CARE ONE AT WILMINGTON,Middlesex,MA,For profit
CARLETON-WILLARD VILLAGE RETIREMENT & NURSING CTR,Middlesex,MA,Non profit
CARLYLE HOUSE,Middlesex,MA,For profit
CASA DE RAMANA REHABILITATION CENTER,Middlesex,MA,For profit
CHETWYNDE HEALTHCARE,Middlesex,MA,For profit
COURTYARD NURSING CARE CENTER,Middlesex,MA,For profit
D'YOUVILLE SENIOR CARE,Middlesex,MA,Non profit
DEXTER HOUSE HEALTHCARE,Middlesex,MA,For profit
ELIOT CENTER FOR HEALTH & REHABILITATION,Middlesex,MA,For profit
FAIRHAVEN HEALTHCARE CENTER,Middlesex,MA,Non profit
GLEN RIDGE NURSING CARE CENTER,Middlesex,MA,For profit
GREENWOOD NURSING & REHABILITATION CENTER,Middlesex,MA,For profit
HEATHWOOD HEALTHCARE,Middlesex,MA,For profit
JEANNE JUGAN RESIDENCE,Middlesex,MA,Non profit
LIFE CARE CENTER OF MERRIMACK VALLEY,Middlesex,MA,For profit
LIFE CARE CENTER OF NASHOBA VALLEY,Middlesex,MA,For profit
LIFE CARE CENTER OF STONEHAM,Middlesex,MA,For profit
MARISTHILL NURSING & REHABILITATION CENTER,Middlesex,MA,Non profit
MARLBOROUGH HILLS REHABILITATION & HLTH CARE CTR,Middlesex,MA,For profit
MARY ANN MORSE NURSING & REHABILITATION,Middlesex,MA,Non profit
MEADOW GREEN NURSING AND REHABILITATION CENTER,Middlesex,MA,For profit
MEDFORD REHABILITATION AND NURSING CENTER,Middlesex,MA,For profit
MELROSE HEALTHCARE,Middlesex,MA,For profit
NEVILLE CENTER AT FRESH POND FOR NURSING & REHAB,Middlesex,MA,Non profit
NORTHWOOD REHABILITATION & HEALTHCARE CENTER,Middlesex,MA,For profit
OAK KNOLL HEALTHCARE CENTER,Middlesex,MA,For profit
PALM SKILLED  NRSING CR & CTR FOR REHAB EXCELLENCE,Middlesex,MA,For profit
PARK AVENUE HEALTH CENTER,Middlesex,MA,For profit
PINE KNOLL NURSING CENTER,Middlesex,MA,For profit
REHABILITATION & NURSING CENTER AT EVERETT (THE),Middlesex,MA,For profit
"RESERVOIR CENTER FOR HEALTH & REHABILITATION, THE",Middlesex,MA,For profit
RIVERCREST LONG TERM CARE,Middlesex,MA,Non profit
ROYAL MEADOW VIEW CENTER,Middlesex,MA,For profit
SANCTA MARIA NURSING FACILITY,Middlesex,MA,Non profit
SEVEN HILLS PEDIATRIC CENTER,Middlesex,MA,Non profit
ST PATRICK'S MANOR,Middlesex,MA,Non profit
STONE REHABILITATION AND SENIOR LIVING,Middlesex,MA,Non profit
SUDBURY PINES EXTENDED CARE,Middlesex,MA,For profit
SUNNY ACRES NURSING HOME,Middlesex,MA,For profit
TOWN AND COUNTRY HEALTH CARE CENTER,Middlesex,MA,For profit
WAKEFIELD CENTER,Middlesex,MA,For profit
WATERTOWN HEALTH CENTER,Middlesex,MA,For profit
"WATERVIEW LODGE LLC, REHABILITATION & HEALTHCARE",Middlesex,MA,For profit
WEST NEWTON HEALTHCARE,Middlesex,MA,For profit
WESTFORD HOUSE,Middlesex,MA,For profit
WILLOW MANOR,Middlesex,MA,For profit
WILMINGTON REHAB CENTER,Middlesex,MA,For profit
"WINCHESTER NURSING CENTER, INC",Middlesex,MA,For profit
WINGATE AT CHESTNUT HILL,Middlesex,MA,For profit
WINGATE AT WESTON,Middlesex,MA,For profit
"WOBURN NURSING CENTER, INC",Middlesex,MA,For profit
ALLIANCE HEALTH AT BRAINTREE,Norfolk,MA,Non profit
ALLIANCE HEALTH AT MARINA BAY,Norfolk,MA,Non profit
BLUE HILLS HEALTH AND REHABILITATION CENTER,Norfolk,MA,For profit
BRAINTREE MANOR HEALTHCARE,Norfolk,MA,For profit
BRIARWOOD REHABILITATION & HEALTHCARE CENTER,Norfolk,MA,For profit
BRUSH HILL CARE CENTER,Norfolk,MA,For profit
CARE ONE AT BROOKLINE,Norfolk,MA,For profit
CARE ONE AT RANDOLPH,Norfolk,MA,For profit
CARE ONE AT WEYMOUTH,Norfolk,MA,For profit
COMMONS RESIDENCE AT ORCHARD COVE,Norfolk,MA,Non profit
COPLEY AT STOUGHTON - BAYSTATE CONSOLIDATED PROPER,Norfolk,MA,For profit
DEDHAM HEALTHCARE,Norfolk,MA,Non profit
ELIZABETH SETON,Norfolk,MA,Non profit
ELLIS NURSING HOME (THE),Norfolk,MA,For profit
HANCOCK PARK REHABILITATION AND NURSING CENTER,Norfolk,MA,For profit
HELLENIC NURSING & REHABILITATION CENTER,Norfolk,MA,Non profit
JOHN SCOTT HOUSE NURSING & REHABILITATION CENTER,Norfolk,MA,For profit
MAPLES REHABILITATION & NURSING CENTER,Norfolk,MA,For profit
MEDWAY COUNTRY MANOR SKILLED NURSING & REHABILITAT,Norfolk,MA,For profit
NEWBRIDGE ON THE CHARLES SKILLED NURSING FACILITY,Norfolk,MA,Non profit
NEWTON WELLESLEY CENTER FOR ALZHEIMER'S CARE,Norfolk,MA,For profit
NORWOOD HEALTHCARE,Norfolk,MA,For profit
POPE NURSING HOME,Norfolk,MA,For profit
QUINCY HEALTH AND REHABILITATION CENTER LLC,Norfolk,MA,For profit
REVOLUTION CHARLWELL,Norfolk,MA,For profit
ROYAL BRAINTREE NURSING AND REHABILITATION CENTER,Norfolk,MA,For profit
SERENITY HILL NURSING CENTER,Norfolk,MA,For profit
WALPOLE HEALTHCARE,Norfolk,MA,For profit
WINGATE AT NEEDHAM,Norfolk,MA,For profit
WINGATE AT SHARON,Norfolk,MA,For profit
ALLIANCE HEALTH AT WEST ACRES,Plymouth,MA,Non profit
BAYPATH AT DUXBURY NURSING & REHABILITATION CTR,Plymouth,MA,For profit
BAYPOINTE REHAB CENTER,Plymouth,MA,For profit
BROCKTON HEALTH CENTER,Plymouth,MA,For profit
COLONY CENTER FOR HEALTH & REHABILITATION,Plymouth,MA,For profit
GUARDIAN CENTER (THE),Plymouth,MA,Non profit
HARBOR HOUSE NURSING & REHABILITATION CENTER,Plymouth,MA,For profit
LIFE CARE CENTER OF PLYMOUTH,Plymouth,MA,For profit
LIFE CARE CENTER OF THE SOUTH SHORE,Plymouth,MA,For profit
LIFE CARE CENTER OF WEST BRIDGEWATER,Plymouth,MA,For profit
OAKHILL HEALTHCARE,Plymouth,MA,For profit
"QUEEN ANNE NURSING HOME, INC",Plymouth,MA,For profit
ROYAL NORWELL NURSING & REHABILITATION CENTER LLC,Plymouth,MA,For profit
SACHEM CENTER FOR HEALTH & REHABILITATION,Plymouth,MA,For profit
SOUTHSHORE HEALTH CARE CENTER,Plymouth,MA,For profit
SOUTHWOOD AT NORWELL NURSING CTR,Plymouth,MA,For profit
ST JOSEPH MANOR HEALTH CARE INC,Plymouth,MA,Non profit
TREMONT HEALTH CARE CENTER,Plymouth,MA,For profit
WEBSTER PARK REHABILITATION AND HEALTHCARE CENTER,Plymouth,MA,For profit
WINGATE AT SILVER LAKE,Plymouth,MA,For profit
"ADVOCATE HEALTHCARE OF EAST BOSTON, LLC",Suffolk,MA,For profit
ARMENIAN NURSING & REHABILITATION CENTER,Suffolk,MA,Non profit
BENJAMIN HEALTHCARE CENTER,Suffolk,MA,Non profit
"BOSTON HOME, INC (THE)",Suffolk,MA,Non profit
"BOSTONIAN NURSING CARE & REHABILITATION CTR, THE",Suffolk,MA,Non profit
BRIGHTON HOUSE REHABILITATION & NURSING CENTER,Suffolk,MA,For profit
EASTPOINTE REHAB CENTER,Suffolk,MA,For profit
GERMAN CENTER FOR EXTENDED CARE,Suffolk,MA,Non profit
KATZMAN FAMILY CENTER FOR LIVING,Suffolk,MA,Non profit
LAUREL RIDGE REHAB AND SKILLED CARE CENTER,Suffolk,MA,Non profit
LEONARD FLORENCE CENTER FOR LIVING,Suffolk,MA,Non profit
LIGHTHOUSE NURSING CARE CENTER,Suffolk,MA,Non profit
MARIAN MANOR,Suffolk,MA,Non profit
MATTAPAN HEALTH & REHABILITATION CENTER,Suffolk,MA,For profit
PARK PLACE REHABILITATION & SKILLED CARE CENTER,Suffolk,MA,For profit
PARKWAY HEALTH AND REHABILITATION CENTER,Suffolk,MA,For profit
PRESENTATION REHAB AND SKILLED CARE CENTER,Suffolk,MA,Non profit
RECUPERATIVE SERVICES UNIT-HEBREW REHAB CENTER,Suffolk,MA,Non profit
SHERRILL HOUSE,Suffolk,MA,Non profit
SOLDIERS HOME IN MASSACHUSETTS,Suffolk,MA,Government
SPAULDING NURSING & THERAPY CENTER - BRIGHTON,Suffolk,MA,Non profit
ST JOSEPH REHAB & NURSING CARE CENTER,Suffolk,MA,For profit
STONEHEDGE HEALTH CARE CENTER,Suffolk,MA,For profit
WEST REVERE HEALTH CENTER,Suffolk,MA,For profit
WEST ROXBURY HEALTH & REHABILITATION CENTER,Suffolk,MA,For profit
ALLIANCE HEALTH AT BALDWINVILLE,Worcester,MA,Non profit
BEAR MOUNTAIN AT WORCESTER,Worcester,MA,For profit
BEAUMONT AT UNIVERSITY CAMPUS,Worcester,MA,For profit
BEAUMONT REHAB & SKILLED NURSING CTR - NORTHBORO,Worcester,MA,For profit
BEAUMONT REHAB & SKILLED NURSING CTR - NORTHBRIDGE,Worcester,MA,For profit
BEAUMONT REHAB & SKILLED NURSING CTR - WESTBORO,Worcester,MA,For profit
BLAIRE HOUSE OF MILFORD,Worcester,MA,For profit
BLAIRE HOUSE OF WORCESTER,Worcester,MA,For profit
CARE ONE AT MILLBURY,Worcester,MA,For profit
CHRISTOPHER HOUSE OF WORCESTER,Worcester,MA,Non profit
COLEMAN HOUSE,Worcester,MA,For profit
FITCHBURG HEALTHCARE,Worcester,MA,For profit
"HIGHLANDS, THE",Worcester,MA,For profit
HOLY TRINITY EASTERN ORTHODOX N & R CENTER,Worcester,MA,Non profit
JEWISH HEALTHCARE CENTER,Worcester,MA,Non profit
KNOLLWOOD NURSING CENTER,Worcester,MA,Non profit
LYDIA TAFT HOUSE,Worcester,MA,For profit
MEADOWS OF CENTRAL MASSACHUSETTS (THE),Worcester,MA,For profit
MILFORD CENTER,Worcester,MA,For profit
NOTRE DAME LONG TERM CARE CENTER,Worcester,MA,Non profit
PARSONS HILL REHABILITATION & HEALTH CARE CENTER,Worcester,MA,For profit
SHREWSBURY NURSING & REHABILITATION CENTER,Worcester,MA,For profit
ST MARY HEALTH CARE CENTER,Worcester,MA,Non profit
WACHUSETT MANOR,Worcester,MA,For profit
WEBSTER MANOR REHABILITATION & HEALTH CARE CENTER,Worcester,MA,For profit
WEST SIDE HOUSE LTC FACILITY,Worcester,MA,For profit
WESTBOROUGH HEALTHCARE,Worcester,MA,For profit
WORCESTER HEALTH CENTER,Worcester,MA,For profit
WORCESTER REHABILITATION & HEALTH CARE CENTER,Worcester,MA,For profit
HERITAGE CENTER,Baltimore,MD,For profit
LOCH RAVEN CENTER,Baltimore,MD,For profit
FUTURE CARE COLD SPRING,Baltimore City,MD,For profit
LEVINDALE HEBREW GER CTR & HSP,Baltimore City,MD,Non profit
"LOCHEARN NURSING HOME, LLC",Baltimore City,MD,For profit
CARROLL LUTHERAN VILLAGE,Carroll,MD,Non profit
PLEASANT VIEW NSG HOME,Carroll,MD,For profit
ALTHEA WOODLAND NURSING HOME,Montgomery,MD,For profit
BROOKE GROVE REHAB. & NSG CTR,Montgomery,MD,Non profit
CADIA HEALTHCARE - WHEATON,Montgomery,MD,For profit
FAIRLAND CENTER,Montgomery,MD,For profit
FOX CHASE REHABILITATION AND NURSING CENTER,Montgomery,MD,For profit
HEBREW HOME OF GREATER WASHINGTON,Montgomery,MD,Non profit
LAYHILL NURSING AND REHABILITATION CENTER,Montgomery,MD,For profit
MAPLEWOOD PARK PLACE,Montgomery,MD,For profit
"REGENCY CARE OF SILVER SPRING, LLC",Montgomery,MD,For profit
ROCKVILLE NURSING HOME,Montgomery,MD,Non profit
COLLINGTON EPISCOPAL LIFE CARE,Prince Georges,MD,Non profit
LARKIN CHASE CENTER,Prince Georges,MD,For profit
MAINE VETERANS HOME - SCARBOROUGH,Cumberland,ME,Non profit
"AUGUSTA CENTER FOR HEALTH & REHABILITATION, LLC",Kennebec,ME,For profit
THE COMMONS AT TALL PINES,Waldo,ME,For profit
SEAL ROCK HEALTH CARE,York,ME,For profit
MEDILODGE OF ALPENA,Alpena,MI,For profit
THORNAPPLE MANOR,Barry,MI,Government
PINE RIDGE - A REHABILITATION AND NURSING CENTER,Berrien,MI,Non profit
ADVANTAGE LIVING CENTER - BATTLE CREEK,Calhoun,MI,For profit
LAURELS OF BEDFORD (THE),Calhoun,MI,For profit
GRAYLING NURSING & REHAB COMMUNITY,Crawford,MI,For profit
MUNSON HEALTHCARE CRAWFORD CONTINUING CARE CENTER,Crawford,MI,For profit
REGENCY AT LANSING WEST,Eaton,MI,For profit
FENTON HEALTHCARE,Genesee,MI,For profit
HEARTLAND HEALTH CARE CENTER-BRIARWOOD,Genesee,MI,Non profit
KITH HAVEN,Genesee,MI,For profit
MAPLE WOODS MANOR,Genesee,MI,For profit
MEDILODGE OF GRAND BLANC,Genesee,MI,For profit
REGENCY AT GRAND BLANC,Genesee,MI,For profit
WELLBRIDGE OF FENTON,Genesee,MI,For profit
WILLOWBROOK MANOR,Genesee,MI,For profit
HILLSDALE CO MEDICAL CARE FACI,Hillsdale,MI,Government
BURCHAM HILLS RETIREMENT CTR,Ingham,MI,Non profit
INGHAM COUNTY MEDICAL CARE FAC,Ingham,MI,Government
MEDILODGE OF OKEMOS,Ingham,MI,For profit
LAKEVIEW MANOR HEALTHCARE CENTER,Iosco,MI,For profit
ISABELLA CO MEDICAL CARE FACIL,Isabella,MI,Government
RIDGECREST HEALTH CAMPUS,Jackson,MI,For profit
MEDILODGE OF KALAMAZOO,Kalamazoo,MI,For profit
PLAINWELL PINES NURSING AND REHABILITATION COMMUNI,Kalamazoo,MI,For profit
CLARK RETIREMENT COMMUNITY,Kent,MI,Non profit
HEALTHBRIDGE POST-ACUTE REHABILITATION,Kent,MI,For profit
LAURELS OF KENT (THE),Kent,MI,For profit
MISSION POINT NRSG AND REHAB CTR OF CEDAR SPRINGS,Kent,MI,For profit
LAPEER COUNTY MEDICAL CARE FAC,Lapeer,MI,Government
CARETEL INNS OF BRIGHTON,Livingston,MI,For profit
MEDILODGE OF LIVINGSTON,Livingston,MI,For profit
WELLBRIDGE OF BRIGHTON,Livingston,MI,For profit
ADVANTAGE LIVING CENTER - ROSEVILLE,Macomb,MI,For profit
ADVANTAGE LIVING CENTER - WARREN,Macomb,MI,For profit
AUTUMN WOODS RESIDENTIAL HLTH,Macomb,MI,For profit
CHURCH OF CHRIST CARE CENTER,Macomb,MI,Non profit
"FATHER MURRAY, A VILLA CENTER",Macomb,MI,For profit
HEARTLAND HEALTH CARE CENTER - STERLING HEIGHTS,Macomb,MI,Non profit
"LAKEPOINTE SENIOR CARE AND REHAB CENTER, L L C",Macomb,MI,For profit
LAKESIDE MANOR NURSING AND REHABILITATION CENTER,Macomb,MI,For profit
MARTHA T BERRY MCF,Macomb,MI,Government
MEDILODGE OF SHORELINE,Macomb,MI,For profit
MEDILODGE OF STERLING HEIGHTS,Macomb,MI,For profit
POMEROY LIVING STERLING SKILLED REHABILITATION,Macomb,MI,For profit
REGENCY AT SHELBY TOWNSHIP,Macomb,MI,For profit
REGENCY AT ST CLAIR SHORES,Macomb,MI,For profit
REGENCY MANOR NURSING & REHABILITATION CENTER,Macomb,MI,For profit
SANCTUARY AT FRASER VILLA,Macomb,MI,Non profit
SHELBY CROSSING HEALTH CAMPUS,Macomb,MI,For profit
SHELBY HEALTH AND REHABILITATION CENTER,Macomb,MI,For profit
SHOREPOINTE NURSING CENTER,Macomb,MI,For profit
THE VILLA AT CITY CENTER,Macomb,MI,For profit
THE VILLAGE OF EAST HARBOR,Macomb,MI,Non profit
