Provider_Name,County,State,Ownership Type,Federal Provider Number
YORKTOWN REHABILITATION & NURSING CENTER,Westchester,NY,For profit,335078
WYOMING COUNTY COMMUNITY HOSPITAL S N F,Wyoming,NY,Government,335034
SOLDIERS AND SAILORS MEMORIAL HOSPITAL E C U,Yates,NY,Non profit,335289
CARECORE AT LIMA LLC,Allen,OH,For profit,365202
LIBERTY RETIREMENT COMMUNITY OF LIMA INC,Allen,OH,For profit,365936
LIMA CONVALESCENT HOME,Allen,OH,Non profit,366297
LIMA MANOR,Allen,OH,For profit,365303
MENNONITE MEMORIAL HOME,Allen,OH,Non profit,366144
SPRINGS OF LIMA THE,Allen,OH,For profit,366464
GENEVA SHORES NURSING AND REHAB,Ashtabula,OH,For profit,365962
SAYBROOK LANDING,Ashtabula,OH,For profit,366382
OTTERBEIN ST MARYS RETIREMENT COMMUNITY,Auglaize,OH,Non profit,365953
OTTERBEIN-CRIDERSVILLE,Auglaize,OH,Non profit,366050
SIENNA HILLS NURSING & REHABILITATION,Belmont,OH,For profit,365922
"GARDEN MANOR EXTENDED CARE CENTER, INC",Butler,OH,For profit,365209
ARBORS AT MINERVA,Carroll,OH,For profit,365674
CARROLL HEALTHCARE CENTER INC,Carroll,OH,For profit,365579
SOUTHBROOK CARE CENTER,Clark,OH,For profit,365424
EASTGATE HEALTH CARE CENTER,Clermont,OH,For profit,365772
OTTERBEIN LOVELAND,Clermont,OH,For profit,366445
OTTERBEIN UNION TOWNSHIP,Clermont,OH,Non profit,366439
CIRCLE OF CARE,Columbiana,OH,For profit,365977
SALEM WEST HEALTHCARE CENTER,Columbiana,OH,For profit,366096
ACCORD CARE COMMUNITY MIDDLEBURG HEIGHTS,Cuyahoga,OH,For profit,365702
ARISTOCRAT BEREA HEALTHCARE AND REHABILITATION,Cuyahoga,OH,For profit,365608
ELISABETH SEV PRENTISS CTR FOR,Cuyahoga,OH,Government,365787
ELIZA BRYANT CENTER,Cuyahoga,OH,Non profit,366101
FAIRFAX HEALTH CARE CENTER,Cuyahoga,OH,For profit,366106
FRANKLIN PLAZA EXTENDED CARE,Cuyahoga,OH,For profit,365388
GREENBRIER HEALTH CENTER,Cuyahoga,OH,For profit,365192
HIGHLAND POINTE HEALTH & REHAB CENTER,Cuyahoga,OH,For profit,366440
JUDSON PARK,Cuyahoga,OH,Non profit,365870
MANORCARE HEALTH SERVICES -  PARMA,Cuyahoga,OH,Non profit,366343
MCGREGOR AT OVERLOOK,Cuyahoga,OH,Non profit,366383
MENORAH PARK CENTER FOR SENIOR,Cuyahoga,OH,Non profit,365094
NORMANDY MANOR OF ROCKY RIVER,Cuyahoga,OH,For profit,365926
NORTH OLMSTED HEALTHCARE,Cuyahoga,OH,For profit,365310
O'NEILL HEALTHCARE BAY VILLAGE,Cuyahoga,OH,For profit,365264
PARMA CARE CENTER,Cuyahoga,OH,For profit,365758
PLEASANTVIEW CARE CENTER,Cuyahoga,OH,For profit,365084
ROCKY RIVER GARDENS REHAB AND NURSING CTR,Cuyahoga,OH,For profit,365392
SEVEN HILLS HEALTH & REHAB CENTER,Cuyahoga,OH,For profit,366441
SOLON POINTE AT EMERALD RIDGE,Cuyahoga,OH,For profit,366179
ST AUGUSTINE MANOR,Cuyahoga,OH,Non profit,365883
SUNRISE POINTE NURSING & REHAB,Cuyahoga,OH,For profit,365520
UNIVERSITY MANOR HEALTH & REHA,Cuyahoga,OH,For profit,365832
WESTPARK NEUROLOGY AND REHABILITATION CENTER,Cuyahoga,OH,For profit,365796
GREENVILLE HEALTHCARE,Darke,OH,For profit,365532
REST HAVEN NURSING HOME INC,Darke,OH,For profit,365448
OHIO VETERANS HOME,Erie,OH,Government,366325
CRESTVIEW REHAB & SKILLED NRSG SRVCS,Fairfield,OH,For profit,365344
ALTERCARE OF CANAL WINCHESTER POST-ACUTE RC,Franklin,OH,For profit,366367
ARLINGTON COURT NURSING & REHABILITATION CENTER,Franklin,OH,For profit,365950
BUCKEYE TERRACE REHABILITATION AND NURSING CENTER,Franklin,OH,For profit,365933
CAPITAL CITY GARDENS REHABILITATION AND NURSING CE,Franklin,OH,For profit,365315
CONTINUING HEALTHCARE OF GAHANNA,Franklin,OH,For profit,366094
FIRST COMMUNITY VILLAGE HEALTHCARE CTR,Franklin,OH,Non profit,365047
FOREST HILLS CENTER,Franklin,OH,For profit,365980
FRIENDSHIP VILLAGE OF DUBLIN,Franklin,OH,Non profit,365560
GRAND THE,Franklin,OH,For profit,366435
HEARTLAND OF DUBLIN,Franklin,OH,Non profit,366418
HEARTLAND OF WESTERVILLE,Franklin,OH,Non profit,365611
HIGHBANKS CARE CENTER,Franklin,OH,For profit,366303
ISABELLE RIDGWAY POST ACUTE  CARE CAMPUS LLC,Franklin,OH,For profit,366207
LAURELS  OF HILLIARD THE,Franklin,OH,For profit,365725
LAURELS OF NORWORTH THE,Franklin,OH,For profit,365222
"LAURELS OF WORTHINGTON, THE",Franklin,OH,For profit,365256
MAJESTIC CARE OF WHITEHALL,Franklin,OH,For profit,366201
MCNAUGHTEN POINTE NURSING AND REHAB,Franklin,OH,For profit,365195
MILL RUN CARE CENTER,Franklin,OH,For profit,366142
SCIOTO COMMUNITY,Franklin,OH,For profit,366259
THE LAURELS OF GAHANNA,Franklin,OH,For profit,366457
WESLEY GLEN HEALTH SERVICES CORP,Franklin,OH,Non profit,365504
WESLEY WOODS AT NEW ALBANY,Franklin,OH,Non profit,366470
WEST PARK CARE CENTER LLC,Franklin,OH,For profit,365799
WHETSTONE GARDENS AND CARE CENTER,Franklin,OH,For profit,365272
WILLOW BROOK CHRISTIAN HOME,Franklin,OH,Non profit,365988
BRIAR HILL HEALTH CARE RESIDEN,Geauga,OH,For profit,365937
BURTON HEALTH CARE CENTER,Geauga,OH,For profit,366092
ASTORIA PLACE OF CINCINNATI,Hamilton,OH,For profit,366150
BROOKWOOD RETIREMENT COMMUNITY,Hamilton,OH,For profit,365712
BURLINGTON HOUSE REHAB & ALZHEIMER'S CARE CENTER,Hamilton,OH,For profit,365892
CARECORE AT THE MEADOWS,Hamilton,OH,For profit,366175
CLOVERNOOK HEALTH CARE AND REHABILITATION CENTER,Hamilton,OH,For profit,365551
GLENDALE PLACE CARE CENTER,Hamilton,OH,For profit,366327
HYDE PARK HEALTH CENTER,Hamilton,OH,Non profit,365044
KENWOOD TERRACE CARE CENTER,Hamilton,OH,For profit,365178
LINCOLN CRAWFORD CARE CENTER,Hamilton,OH,For profit,366156
MERCY FRANCISCAN AT WEST PARK,Hamilton,OH,Non profit,365603
MT HEALTHY CHRISTIAN HOME,Hamilton,OH,Non profit,366025
NORWOOD TOWERS POST-ACUTE,Hamilton,OH,For profit,366238
OHIO LIVING LLANFAIR,Hamilton,OH,Non profit,365470
PLEASANT RIDGE CARE CENTER,Hamilton,OH,For profit,365196
SANCTUARY POINTE NURSING & REHABILITATION CENTER,Hamilton,OH,For profit,366432
SCARLET OAKS NURSING AND REHABILITATION CENTER,Hamilton,OH,For profit,365978
ST MARGARET HALL INC,Hamilton,OH,Non profit,365733
TWIN LAKES,Hamilton,OH,Non profit,366319
WESTERN HILLS RETIREMENT VILLAGE,Hamilton,OH,For profit,365693
WEXFORD PLACE INC.,Hamilton,OH,For profit,365734
WOODS EDGE REHAB AND NURSING,Hamilton,OH,For profit,366209
SCENIC POINTE NURSING AND REHAB CTR,Holmes,OH,For profit,366333
LAURELS OF STEUBENVILLE THE,Jefferson,OH,For profit,366363
CARDINAL WOODS SKILLED NURSING & REHAB CTR,Lake,OH,For profit,365658
GRAND RIVER HEALTH & REHAB CENTER,Lake,OH,For profit,365492
HEARTLAND OF WILLOUGHBY,Lake,OH,Non profit,365305
KIRTLAND REHABILITATION & CARE,Lake,OH,For profit,365290
OHIO LIVING BRECKENRIDGE VILLAGE,Lake,OH,Non profit,365581
AVON PLACE,Lorain,OH,For profit,365155
KINGSTON OF VERMILION,Lorain,OH,For profit,365639
MAIN STREET CARE CENTER,Lorain,OH,For profit,365865
O'NEILL HEALTHCARE NORTH RIDGEVILLE,Lorain,OH,For profit,365685
WESLEYAN VILLAGE,Lorain,OH,Non profit,365162
ADDISON HEIGHTS HEALTH AND REHABILITATION CENTER,Lucas,OH,For profit,366041
ARBORS AT SYLVANIA,Lucas,OH,For profit,366060
CONCORD CARE CENTER OF TOLEDO,Lucas,OH,For profit,365030
CONTINUING HEALTHCARE OF TOLEDO,Lucas,OH,For profit,365488
DIVINE REHABILITATION AND NURSING AT SYLVANIA,Lucas,OH,For profit,365898
ELIZABETH SCOTT COMMUNITY,Lucas,OH,For profit,366184
FOUNDATION PARK CARE CENTER,Lucas,OH,For profit,365752
FRANCISCAN CARE CTR SYLVANIA,Lucas,OH,Non profit,365907
HEATHERDOWNS REHAB & RESIDENTI,Lucas,OH,For profit,365737
KINGSTON CARE CENTER OF SYLVANIA,Lucas,OH,For profit,366305
LAKES OF MONCLOVA HEALTH CAMPUS THE,Lucas,OH,For profit,366406
LAURELS OF TOLEDO SKILLED NURSING AND REHABILITATI,Lucas,OH,For profit,366328
LUTHERAN HOME AT TOLEDO,Lucas,OH,Non profit,366188
ORCHARD VILLA,Lucas,OH,For profit,366068
OREGON HEALTHCARE,Lucas,OH,For profit,365453
OTTERBEIN MONCLOVA,Lucas,OH,Non profit,366361
PARK TERRACE NURSING AND REHABILITATION CENTER,Lucas,OH,For profit,365339
PROMEDICA GOERLICH CENTER,Lucas,OH,Non profit,366317
RIDGEWOOD MANOR,Lucas,OH,For profit,365952
SPRING MEADOWS NURSING & REHABILITATION CENTRE,Lucas,OH,For profit,366042
SUNSET VILLAGE,Lucas,OH,Non profit,366242
THE GARDENS OF ST. FRANCIS,Lucas,OH,Non profit,366312
TOLEDO HEALTHCARE,Lucas,OH,For profit,365886
WATERVILLE HEALTHCARE,Lucas,OH,For profit,365617
BEEGHLY OAKS CENTER FOR REHABILITATION & HEALING,Mahoning,OH,For profit,366195
CANFIELD ACRES LLC DBA WINDSOR HOUSE AT CANFIELD,Mahoning,OH,For profit,366460
CAPRICE HEALTH CARE CENTER,Mahoning,OH,For profit,366062
CRANDALL NURSING HOME,Mahoning,OH,Non profit,365574
"HAMPTON WOODS NURSING CENTER, INC",Mahoning,OH,For profit,366329
HUMILITY HOUSE,Mahoning,OH,Non profit,366186
MASTERNICK MEMORIAL HEALTH CARE CENTER,Mahoning,OH,For profit,366375
OHIO LIVING PARK VISTA,Mahoning,OH,Non profit,365275
OMNI MANOR NURSING HOME,Mahoning,OH,For profit,365433
SHEPHERD OF THE VALLEY POLAND,Mahoning,OH,Non profit,366453
SHEPHERD OF THE VALLEY-BOARDMAN,Mahoning,OH,Non profit,365580
ST MARY'S ALZHEIMER'S CENTER,Mahoning,OH,For profit,365715
VISTA CENTER OF BOARDMAN,Mahoning,OH,For profit,365760
HEARTLAND OF MARION,Marion,OH,Non profit,366304
WADSWORTH POINTE,Medina,OH,For profit,366237
WESTERN RESERVE MASONIC COMM,Medina,OH,Non profit,366240
KOESTER PAVILION,Miami,OH,Non profit,365735
SPRINGMEADE HEALTHCENTER,Miami,OH,Non profit,365882
HEARTLAND OF BEAVERCREEK,Montgomery,OH,Non profit,365374
MARY SCOTT NURSING CENTER,Montgomery,OH,Non profit,366122
SKLD NEW LEXINGTON ILLUMINATE HC NEW LEXINGTON,Perry,OH,For profit,365578
ANNA MARIA OF AURORA,Portage,OH,For profit,365072
ARBORS AT STREETSBORO,Portage,OH,For profit,365718
AVENUE AT AURORA,Portage,OH,For profit,366431
WOODLANDS HEALTH AND REHAB CENTER,Portage,OH,For profit,366127
MEADOWS OF LEIPSIC,Putnam,OH,For profit,366252
ARBORS AT MIFFLIN,Richland,OH,For profit,365763
"ASTORIA PLACE OF CLYDE, LLC",Sandusky,OH,For profit,365740
BEST CARE NURSING & REHAB CTR,Scioto,OH,For profit,365398
ALTERCARE OF ALLIANCE CTR FOR REHAB & NC INC,Stark,OH,For profit,365402
"ALTERCARE OF NOBLES POND, INC",Stark,OH,For profit,366298
AMHERST MEADOWS,Stark,OH,For profit,366284
"BETHANY NURSING HOME, INC",Stark,OH,For profit,366334
JACKSON RIDGE REHABILITATION AND CARE CENTER,Stark,OH,For profit,366271
MEADOW WIND HEALTH CARE CTR INC,Stark,OH,For profit,365665
ROSE LANE NURSING AND REHABILITATION,Stark,OH,For profit,365289
SAINT LUKE LUTHERAN HOME,Stark,OH,Non profit,365521
ARBORS AT STOW,Summit,OH,For profit,365720
BATH CREEK ESTATES,Summit,OH,For profit,366403
BATH MANOR SPECIAL CARE CENTRE,Summit,OH,For profit,365847
CONCORDIA AT SUMNER,Summit,OH,Non profit,366289
CROWN CENTER AT LAUREL LAKE,Summit,OH,Non profit,365793
DIVINE REHABILITATION AND NURSING AT CANAL POINTE,Summit,OH,For profit,365259
HICKORY RIDGE NURSING & REHABILITATION  CENTER,Summit,OH,For profit,365134
MANOR OF GRANDE VILLAGE,Summit,OH,For profit,366346
OHIO LIVING ROCKYNOL,Summit,OH,Non profit,365051
PEBBLE CREEK,Summit,OH,For profit,365727
SEASONS NURSING AND REHAB,Summit,OH,For profit,366183
STOW GLEN HEALTH CARE CENTER,Summit,OH,For profit,366278
THE COLONY HEALTHCARE CENTER,Summit,OH,For profit,365633
O'BRIEN MEMORIAL HEALTH CARE C,Trumbull,OH,For profit,365555
SHEPHERD OF THE VALLEY - NILES,Trumbull,OH,Non profit,365298
VISTA CENTER AT THE RIDGE,Trumbull,OH,For profit,365823
WASHINGTON SQUARE HEALTHCARE CENTER,Trumbull,OH,For profit,365784
WINDSOR HOUSE AT CHAMPION,Trumbull,OH,For profit,366281
NEW DAWN REHABILITATION AND HEALTHCARE CENTER,Tuscarawas,OH,For profit,365990
MEADOWS OF DELPHOS THE,Van Wert,OH,For profit,365405
CARLISLE MANOR HEALTH CARE INC,Warren,OH,For profit,366043
CEDARS OF LEBANON CARE CENTER,Warren,OH,For profit,366296
CEDARVIEW CARE CENTER,Warren,OH,For profit,365690
"MCV HEALTH CARE FACILITIES, INC",Warren,OH,For profit,365894
OTTERBEIN AT MAINEVILLE,Warren,OH,Non profit,366393
OTTERBEIN LEBANON RETIREMENT COMMUNITY,Warren,OH,Non profit,365346
HEARTLAND OF MARIETTA,Washington,OH,Non profit,365780
GLENDORA HEALTH CARE CENTER,Wayne,OH,For profit,366036
SMITHVILLE WESTERN CARE CENTER,Wayne,OH,For profit,365317
KINGSTON REHABILITATION OF PERRYSBURG,Wood,OH,For profit,366409
MANOR AT PERRYSBURG,Wood,OH,For profit,366022
OTTERBEIN PERRYSBURG,Wood,OH,Non profit,366354
OTTERBEIN PORTAGE VALLEY,Wood,OH,Non profit,365571
SKLD PERRYSBURG ILLUMINATE HC PERRYSBURG,Wood,OH,For profit,365624
BINGER NURSING AND REHABILITATION,Caddo,OK,For profit,375398
RANCHWOOD NURSING CENTER,Canadian,OK,Government,375229
ACCEL AT CRYSTAL PARK,Cleveland,OK,For profit,375570
BROOKHAVEN EXTENSIVE CARE,Cleveland,OK,For profit,375461
GRACE LIVING CENTER-NORMAN,Cleveland,OK,For profit,375122
HILLCREST NURSING CENTER,Cleveland,OK,For profit,375331
HOLIDAY HEIGHTS HEALTHCARE,Cleveland,OK,For profit,37E052
MEDICAL PARK WEST REHABILITATION & SKILLED CARE,Cleveland,OK,For profit,375551
NOBLE HEALTH CARE CENTER,Cleveland,OK,Government,375245
WILLOW PARK HEALTH CARE CENTER,Comanche,OK,For profit,375431
HEARTSWORTH CENTER FOR NURSING & REHABILITATION,Craig,OK,For profit,375493
BEACON RIDGE,Creek,OK,For profit,375572
CLINTON THERAPY & LIVING CENTER,Custer,OK,For profit,375253
GROVE NURSING CENTER,Delaware,OK,For profit,375366
SEILING NURSING CENTER,Dewey,OK,Government,37E082
THE COMMONS,Garfield,OK,Non profit,375488
WASHITA VALLEY LIVING CENTER,Garvin,OK,For profit,375342
TUTTLE CARE CENTER,Grady,OK,For profit,375428
GRACE LIVING CENTER-MANGUM,Greer,OK,For profit,375207
MAGNOLIA CREEK SKILLED NURSING AND THERAPY,Jackson,OK,For profit,375505
PONCA CITY NURSING & REHABILITATION CENTER,Kay,OK,For profit,375439
FIRST SHAMROCK CARE CENTER,Kingfisher,OK,For profit,375416
HENNESSEY NURSING & REHAB,Kingfisher,OK,For profit,375485
"OK VETERANS CENTER, TALIHINA",Latimer,OK,Government,375576
FAMILY CARE CENTER OF KINGSTON,Marshall,OK,For profit,375437
"PURCELL CARE CENTER, LLC",Mcclain,OK,For profit,375286
SUNSET ESTATES OF PURCELL,Mcclain,OK,For profit,375440
BROADWAY MANOR NURSING HOME,Muskogee,OK,For profit,375146
BAPTIST VILLAGE OF OKLAHOMA CITY,Oklahoma,OK,Non profit,375381
BELLEVUE HEALTH & REHABILITATION CENTER,Oklahoma,OK,For profit,375349
CAPITOL HILL SKILLED NURSING AND THERAPY,Oklahoma,OK,For profit,375151
CROSS TIMBERS NURSING AND REHABILIATION,Oklahoma,OK,For profit,375573
EPWORTH VILLA HEALTH SERVICES,Oklahoma,OK,Non profit,375473
FAIRMONT SKILLED NURSING AND THERAPY,Oklahoma,OK,For profit,375209
HERITAGE AT BRANDON PLACE HEALTH & REHABILITATION,Oklahoma,OK,For profit,375119
HERITAGE MANOR,Oklahoma,OK,For profit,375502
MID-DEL SKILLED NURSING AND THERAPY,Oklahoma,OK,For profit,375186
OAK HILLS LIVING CENTER,Oklahoma,OK,For profit,375117
PARCWAY,Oklahoma,OK,For profit,375412
THE TIMBERS SKILLED NURSING AND THERAPY,Oklahoma,OK,For profit,375158
TUSCANY VILLAGE NURSING CENTER,Oklahoma,OK,For profit,375536
WINDSOR HILLS NURSING CENTER,Oklahoma,OK,For profit,375400
"SKIATOOK NURSING HOME,LLC",Osage,OK,For profit,375293
MCALESTER NURSING & REHAB,Pittsburg,OK,For profit,375487
MITCHELL MANOR,Pittsburg,OK,For profit,375512
NEW HOPE RETIREMENT & CARE CENTER,Pittsburg,OK,For profit,375384
SHAWNEE COLONIAL ESTATES NURSING HOME,Pottawatomie,OK,For profit,375432
EMERALD CARE CENTER CLAREMORE,Rogers,OK,For profit,375499
ELMWOOD MANOR NURSING HOME,Seminole,OK,For profit,375423
MERIDIAN NURSING HOME,Stephens,OK,For profit,375426
WILKINS HEALTH & REHABILITATION COMMUNITY,Stephens,OK,For profit,375424
DR W F & MADA DUNAWAY MANOR,Texas,OK,Non profit,375526
MEMORIAL NURSING CENTER,Tillman,OK,Government,375567
FRANCISCAN VILLA,Tulsa,OK,For profit,375525
GRACE LIVING CENTER-JENKS,Tulsa,OK,For profit,375358
MAPLEWOOD CARE CENTER,Tulsa,OK,For profit,375568
"OKLAHOMA METHODIST MANOR, INC.",Tulsa,OK,Non profit,375454
SOUTHERN HILLS REHABILITATION CENTER,Tulsa,OK,For profit,375172
THE COTTAGE EXTENDED CARE,Tulsa,OK,For profit,375489
THE VILLAGES AT SOUTHERN HILLS,Tulsa,OK,For profit,375546
VILLAGE HEALTH CARE CENTER,Tulsa,OK,For profit,375171
COWETA MANOR NURSING HOME,Wagoner,OK,For profit,375304
ADAMS PARC,Washington,OK,For profit,375549
BARTLESVILLE HEALTH AND REHABILITATION COMMUNITY,Washington,OK,For profit,375110
HERITAGE VILLA NURSING CENTER,Washington,OK,For profit,375109
CORN HERITAGE VILLAGE AND REHAB,Washita,OK,Non profit,375409
CORVALLIS MANOR,Benton,OR,For profit,385072
PRESTIGE POST-ACUTE & REHAB CENTER - MILWAUKIE,Clackamas,OR,For profit,385270
LEBANON VETERANS HOME,Linn,OR,Non profit,385280
MARQUIS MARIAN ESTATES,Marion,OR,For profit,385240
SALEM TRANSITIONAL CARE,Marion,OR,For profit,385234
THE OAKS AT SHERWOOD PARK,Marion,OR,For profit,385241
TIERRA ROSE CARE CENTER,Marion,OR,For profit,38E075
CORNERSTONE CARE OPTION,Multnomah,OR,For profit,38E173
FRIENDSHIP HEALTH CENTER,Multnomah,OR,Non profit,385121
HEALTHCARE AT FOSTER CREEK,Multnomah,OR,For profit,385281
LAURELHURST VILLAGE,Multnomah,OR,For profit,385010
MARQUIS MILL PARK,Multnomah,OR,For profit,385214
PRESTIGE CARE AND REHABILITATION OF REEDWOOD,Multnomah,OR,For profit,385055
REGENCY GRESHAM NURSING & REHAB CENTER,Multnomah,OR,For profit,385015
VILLAGE HEALTH CARE,Multnomah,OR,For profit,385068
OREGON VETERANS HOME,Wasco,OR,Non profit,385257
AVAMERE REHABILITATION OF BEAVERTON,Washington,OR,For profit,385195
AVAMERE REHABILITATION OF HILLSBORO,Washington,OR,For profit,385251
SPIRITRUST LUTHERAN THE VILLAGE AT GETTYSBURG,Adams,PA,Non profit,395647
SPIRITRUST LUTHERAN THE VILLAGE AT LUTHER RIDGE,Adams,PA,Non profit,396146
BAPTIST HOMES OF WESTERN PENNSYLVANIA,Allegheny,PA,Non profit,395020
BRIDGEVILLE REHABILITATION & CARE CENTER,Allegheny,PA,For profit,395596
CARING HEIGHTS COMMUNITY CARE & REHAB CTR,Allegheny,PA,For profit,395603
CHARLES M. MORRIS NURSING AND,Allegheny,PA,Non profit,395526
CORNER VIEW NURSING AND REHABILITATION CENTER,Allegheny,PA,For profit,395423
ELDERCREST HEALTHCARE AND REHABILITATION CENTER,Allegheny,PA,For profit,395013
HARMAR VILLAGE CARE CENTER,Allegheny,PA,For profit,396048
JEFFERSON HILLS HEALTHCARE AND REHABILITATION CENT,Allegheny,PA,For profit,395066
JEFFERSON HILLS REHABILITATION AND WELLNESS CENTER,Allegheny,PA,For profit,395948
JOHN J KANE REGIONAL CENTER-GL,Allegheny,PA,Government,395643
JOHN J KANE REGIONAL CENTER-MC,Allegheny,PA,Government,395640
JOHN J KANE REGIONAL CENTER-RO,Allegheny,PA,Government,395606
JOHN J KANE REGIONAL CENTER-SC,Allegheny,PA,Government,395617
MANORCARE HEALTH SERVICES-PITTSBURGH,Allegheny,PA,Non profit,395068
MANORCARE HEALTH SERVICES-SHADYSIDE,Allegheny,PA,Non profit,395251
MARIAN MANOR CORPORATION,Allegheny,PA,Non profit,395765
PENNWOOD NURSING AND REHABILITATION CENTER LLC,Allegheny,PA,For profit,395883
PLATINUM RIDGE CTR FOR REHAB & HEALING,Allegheny,PA,For profit,395011
PROVIDENCE POINT HEALTHCARE RESIDENCE,Allegheny,PA,Non profit,396124
REFORMED PRESBYTERIAN HOME,Allegheny,PA,Non profit,395561
SOUTHWESTERN NURSING CARE CENTER,Allegheny,PA,For profit,395742
SOUTHWESTERN VETERANS CENTER,Allegheny,PA,Government,39A438
ST BARNABAS NURSING HOME,Allegheny,PA,Non profit,395605
VINCENTIAN HOME,Allegheny,PA,Non profit,395034
BRIGHTON REHABILITATION AND WELLNESS CENTER,Beaver,PA,For profit,395015
CONCORDIA AT VILLA ST JOSEPH,Beaver,PA,Non profit,396026
ROCHESTER MANOR,Beaver,PA,For profit,395751
BERKS HEIM NURSING & REHABILITATION,Berks,PA,Government,395094
BERKSHIRE CENTER,Berks,PA,For profit,395938
FAIRLANE GARDENS NURSING AND REHAB AT READING,Berks,PA,For profit,395627
HIGHLANDS AT WYOMISSING,Berks,PA,Non profit,395800
KUTZTOWN MANOR,Berks,PA,For profit,395680
LAUREL CENTER,Berks,PA,For profit,395408
"LUTHERAN HOME AT TOPTON, THE",Berks,PA,Non profit,395117
MANORCARE HEALTH SERVICES-LAURELDALE,Berks,PA,Non profit,395477
MANORCARE HEALTH SERVICES-SINKING SPRING,Berks,PA,For profit,395541
MANORCARE HEALTH SERVICES-WEST READING NORTH,Berks,PA,For profit,395351
MIFFLIN CENTER,Berks,PA,For profit,395138
PHOEBE BERKS,Berks,PA,Non profit,395880
SPRUCE MANOR NURSING & REHABILITATION CENTER,Berks,PA,For profit,395226
TRANSITIONAL SUB-ACUTE UNIT,Berks,PA,Non profit,395941
WYOMISSING HEALTH AND REHABILITATION CENTER,Berks,PA,For profit,395237
ANN'S CHOICE,Bucks,PA,Non profit,396107
ATTLEBORO NURSING AND REHAB CE,Bucks,PA,For profit,395710
BELLE HAVEN HEALTHCARE AND REHABILITATION CEN,Bucks,PA,For profit,395574
BRIARLEAF NURSING AND CONVAL C,Bucks,PA,For profit,395409
BUCKINGHAM VALLEY REHABILITATION AND NURSINGCENTER,Bucks,PA,For profit,395188
CHANDLER HALL HEALTH SERVICES,Bucks,PA,Non profit,395305
CHRIST'S HOME RETIREMENT COMMUNITY,Bucks,PA,Non profit,396125
"COMMUNITY AT ROCKHILL, THE",Bucks,PA,Non profit,395497
CRESTVIEW CENTER,Bucks,PA,For profit,395459
GREENLEAF NURSING HOME AND CON,Bucks,PA,For profit,395047
HARBORVIEW REHABILITATION CARE CENTER AT DOYLESTOW,Bucks,PA,For profit,395277
JUNIPER VILLAGE AT BUCKS COUNTY REHAB AND SKD CARE,Bucks,PA,For profit,395864
LANGHORNE GARDENS HEALTH & REHABILITATION CENTER,Bucks,PA,For profit,395521
MAJESTIC OAKS REHABILITATION AND NURSING CENTER,Bucks,PA,For profit,395431
MANORCARE HEALTH SERVICES-OXFORD VALLEY,Bucks,PA,Non profit,395817
MASONIC VILLAGE AT WARMINSTER,Bucks,PA,Non profit,396054
NESHAMINY MANOR HOME,Bucks,PA,Government,395010
PENNSWOOD VILLAGE,Bucks,PA,Non profit,395473
PHOEBE RICHLAND HCC,Bucks,PA,Non profit,395023
PINE RUN HEALTH CENTER,Bucks,PA,Non profit,395366
RICHBORO REHABILITATION & NURSING CENTER,Bucks,PA,For profit,395217
SILVER LAKE CENTER,Bucks,PA,Non profit,395258
STATESMAN HEALTH & REHABILITATION CENTER,Bucks,PA,For profit,395259
TWINING HALL,Bucks,PA,Non profit,395432
WESLEY ENHANCED LIVING - DOYLESTOWN,Bucks,PA,Non profit,395520
WILLOWBROOKE COURT-SOUTHAMPTON,Bucks,PA,Non profit,395490
"GROVE AT HARMONY, THE",Butler,PA,For profit,395758
"ORCHARDS OF SAXONBURG, LLC",Butler,PA,For profit,395160
SHERWOOD OAKS,Butler,PA,Non profit,395549
SUNNYVIEW NURSING AND REHABILITATION CENTER,Butler,PA,For profit,395788
TRANSITIONS HEALTHCARE AUTUMN GROVE CARE CENTER,Butler,PA,For profit,395248
HAIDA HEALTHCARE AND REHABILITATION CENTER,Cambria,PA,For profit,395592
MAHONING VALLEY NURSING AND RE,Carbon,PA,For profit,395480
WEATHERWOOD HEALTHCARE AND REHABILITATION  CENTER,Carbon,PA,For profit,395464
AVENTURA AT PEMBROOKE,Chester,PA,For profit,395166
BARCLAY FRIENDS,Chester,PA,Non profit,395848
BELLINGHAM PARK LANE,Chester,PA,For profit,396082
BRANDYWINE HALL,Chester,PA,For profit,395740
GREEN MEADOWS NURSING & REHABILITATION CENTER,Chester,PA,For profit,395519
HICKORY HOUSE NURSING HOME,Chester,PA,For profit,395436
"INN AT FREEDOM VILLAGE,THE",Chester,PA,For profit,396062
KENDAL AT LONGWOOD,Chester,PA,Non profit,395307
"PHOENIX  CENTER FOR REHABILITATION AND NURSING,THE",Chester,PA,For profit,395284
POCOPSON HOME,Chester,PA,Government,395384
POWERBACK REHABILITATION  EXTON,Chester,PA,For profit,396144
POWERBACK REHABILITATION PHOENIXVILLE,Chester,PA,For profit,396126
SOUTHEASTERN PENNSYLVANIA VETERAN'S CENTER,Chester,PA,Government,39A435
ST MARTHA CENTER FOR REHABILITATION & HEALTHCARE,Chester,PA,For profit,395815
TWIN PINES HEALTH CARE CENTER,Chester,PA,For profit,396114
WAYNE CENTER,Chester,PA,For profit,395332
WELLINGTON TERRACE,Chester,PA,For profit,396117
CLARION HEALTHCARE AND REHABILITATION CENTER,Clarion,PA,For profit,395707
